rank	token	count	count_slr54	count_iriis
75	रुपमा	29074	0	29074
116	डा	20887	59	20828
174	माओवादी	15613	99	15514
220	गाउँपालिका	13490	0	13490
222	सरकारको	13372	105	13267
226	कार्यक्रममा	13243	32	13211
269	बाँकी	11355	77	11278
271	ओलीले	11271	2	11269
282	मन्त्रालयले	11030	6	11024
316	नं	9728	46	9682
329	ओली	9411	6	9405
337	संख्या	9212	0	9212
352	गरेपछि	8854	115	8739
360	बैठकले	8693	6	8687
362	औं	8663	43	8620
377	मंगलबार	8426	0	8426
394	शनिबार	8095	19	8076
398	प्रदेशका	8060	6	8054
409	कोभिड	7910	0	7910
410	बैंक	7909	24	7885
413	कांग्रेसका	7881	0	7881
414	सभापति	7877	34	7843
415	छौं	7873	6	7867
434	श्रेष्ठले	7507	14	7493
436	गरिरहेका	7469	29	7440
450	बैंकले	7275	6	7269
457	समितिले	7238	21	7217
477	पौडेलले	6999	13	6986
478	राति	6980	28	6952
502	आयोगले	6757	1	6756
506	थापाले	6707	10	6697
507	अवसरमा	6697	60	6637
508	जिम्मेवारी	6692	35	6657
523	अनि	6563	253	6310
525	दलको	6525	34	6491
530	वृद्धि	6463	58	6405
535	विद्यार्थी	6419	108	6311
546	पक्षमा	6262	61	6201
547	राखेर	6261	90	6171
558	पाएको	6186	41	6145
559	हालसम्म	6162	39	6123
565	यसमा	6114	351	5763
567	नसकेको	6094	15	6079
569	विश्वासको	6086	2	6084
578	कोही	5990	84	5906
581	दलका	5927	11	5916
585	शुरु	5866	4	5862
587	सरकारलाई	5858	44	5814
590	महत्वपूर्ण	5839	16	5823
593	कारबाही	5828	17	5811
604	नेतृत्वको	5748	8	5740
613	दिइएको	5683	77	5606
614	समितिका	5678	19	5659
616	क्षति	5656	19	5637
617	दिउँसो	5608	16	5592
625	जनालाई	5525	22	5503
626	अवधिमा	5509	78	5431
629	प्रदेशको	5504	70	5434
631	कति	5494	97	5397
634	मन्त्रालयका	5480	4	5476
658	देशभर	5310	15	5295
670	नियन्त्रणमा	5259	30	5229
681	सरकारमा	5213	24	5189
685	एसपी	5157	0	5157
694	अदालतले	5079	9	5070
695	प्रभावकारी	5077	44	5033
696	मिनेटमा	5066	3	5063
701	कांग्रेसले	5050	0	5050
705	गरेकी	5007	66	4941
707	आरोपमा	5005	18	4987
709	काममा	5000	58	4942
710	औँ	4997	114	4883
741	नेतृत्वमा	4759	63	4696
748	तहको	4727	22	4705
760	कम्पनीको	4675	18	4657
761	देउवाले	4668	0	4668
766	केन्द्रका	4637	13	4624
771	पार्टीले	4615	18	4597
772	प्रचण्डले	4605	6	4599
780	बैंकको	4553	6	4547
789	विभागले	4499	8	4491
790	उनीहरुले	4497	3	4494
803	सहकारी	4431	16	4415
806	त्यसैगरी	4409	49	4360
812	तहमा	4391	19	4372
814	नक्कली	4386	20	4366
831	गराएको	4327	40	4287
836	यसैगरी	4308	38	4270
838	उम्मेदवारी	4304	3	4301
841	भुक्तानी	4297	3	4294
845	एमालेले	4275	0	4275
847	जनामा	4263	0	4263
850	गाडी	4253	6	4247
865	पारेको	4170	31	4139
869	काठमाडौंमा	4158	0	4158
870	उपचारका	4157	17	4140
877	नगरपालिकाले	4124	0	4124
892	गरि	4056	24	4032
893	प्रतिशतले	4044	17	4027
900	चालु	4003	5	3998
902	दिएर	4000	93	3907
924	बराबरको	3906	15	3891
935	रवि	3877	5	3872
937	मैदानमा	3871	29	3842
939	गर्नका	3865	118	3747
953	शेयर	3828	0	3828
957	तुलनामा	3819	66	3753
959	भण्डारीले	3815	5	3810
960	गतेदेखि	3807	57	3750
961	उनीहरुको	3806	4	3802
967	दाहालले	3792	0	3792
974	पु	3754	0	3754
975	त्यसका	3750	57	3693
984	व्यक्तिको	3710	57	3653
986	भारतले	3705	20	3685
1002	प्रधानमन्त्रीको	3633	12	3621
1004	एकै	3629	104	3525
1007	परेपछि	3622	1	3621
1009	चुनावी	3619	10	3609
1011	दलले	3617	13	3604
1014	जनाएका	3616	3	3613
1019	गरिसकेको	3610	18	3592
1022	दिनभित्र	3597	13	3584
1025	पेश	3595	3	3592
1028	ओभरमा	3589	12	3577
1031	मुलुकको	3583	19	3564
1033	दुर्घटनामा	3573	21	3552
1034	तोकिएको	3570	23	3547
1035	बलमा	3563	16	3547
1038	पदमा	3546	29	3517
1043	उनीहरू	3524	100	3424
1044	कमिटी	3524	7	3517
1051	अर्थमन्त्री	3499	9	3490
1054	यदि	3485	260	3225
1056	उपाधि	3477	57	3420
1060	मन्त्रालयको	3471	27	3444
1063	कानुनी	3464	0	3464
1065	गराएका	3454	25	3429
1071	संविधानको	3436	31	3405
1073	उनीहरु	3434	6	3428
1074	कहिले	3428	102	3326
1078	गृहमन्त्री	3419	8	3411
1079	मुलुकमा	3414	5	3409
1081	प्राधिकरणका	3406	0	3406
1082	उद्देश्यले	3400	34	3366
1106	एमालेको	3350	9	3341
1113	कम्तीमा	3315	12	3303
1116	आएपछि	3304	30	3274
1117	कांग्रेसको	3301	0	3301
1123	महिलाको	3287	34	3253
1125	लि	3271	2	3269
1131	विभागका	3249	15	3234
1137	उजुरी	3233	0	3233
1141	शरणार्थी	3226	10	3216
1142	थालेपछि	3219	14	3205
1150	चुनौती	3196	14	3182
1151	रोजगारी	3194	5	3189
1152	देखिएका	3192	14	3178
1153	प्रधानमन्त्रीले	3183	1	3182
1154	रनको	3179	7	3172
1157	कोशी	3172	35	3137
1160	कार्कीले	3166	1	3165
1164	गाउँपालिकाका	3154	0	3154
1183	तहका	3104	3	3101
1184	भू	3102	6	3096
1187	सकिएको	3087	11	3076
1193	छन	3080	13	3067
1196	रहेकाले	3074	14	3060
1205	पाण्डेले	3060	12	3048
1207	गाउँपालिकामा	3054	0	3054
1213	त्यसले	3039	75	2964
1223	लगाएका	3017	26	2991
1226	नगरी	3010	30	2980
1228	भाइरसको	3006	1	3005
1235	तरकारी	2997	48	2949
1237	सन्दर्भमा	2997	52	2945
1238	खोजी	2993	33	2960
1239	नागरिकलाई	2991	20	2971
1240	नगरेको	2989	12	2977
1245	उनीहरुलाई	2977	3	2974
1248	पठाउनु	2972	1	2971
1257	सभामा	2960	18	2942
1266	उपप्रधानमन्त्री	2933	0	2933
1267	श्रेष्ठलाई	2932	5	2927
1268	अर्का	2931	29	2902
1276	निर्माणमा	2911	42	2869
1278	बीमा	2907	0	2907
1286	पठाएको	2887	7	2880
1287	अनिवार्य	2884	47	2837
1289	गाउँपालिकाले	2881	0	2881
1291	स्थिति	2864	102	2762
1307	मोरङको	2836	8	2828
1313	गाउँपालिकाको	2826	0	2826
1316	समूहले	2823	18	2805
1320	टिप्पणी	2807	24	2783
1324	सं	2802	12	2790
1325	झण्डै	2802	7	2795
1327	बीचमा	2800	34	2766
1328	संक्रमितको	2794	0	2794
1330	आयोगको	2788	11	2777
1332	सामग्रीबारे	2788	0	2788
1341	प्राधिकरणले	2760	0	2760
1343	समितिमा	2756	32	2724
1347	निर्वाचनको	2746	21	2725
1351	मगरले	2740	5	2735
1355	संसदमा	2731	5	2726
1356	अदालतको	2730	6	2724
1358	मिति	2721	28	2693
1359	महामन्त्री	2721	8	2713
1366	इन्टरनेशनल	2697	1	2696
1368	नागरिकको	2690	5	2685
1395	देखाएको	2628	11	2617
1398	काठमाडौंको	2623	0	2623
1400	प्रतियोगिताको	2617	11	2606
1401	गतिविधि	2616	24	2592
1408	घण्टामा	2597	1	2596
1410	राईले	2586	5	2581
1411	बताउनुभएको	2585	0	2585
1412	चौधरीले	2582	3	2579
1413	वायुको	2581	10	2571
1415	आयोगका	2577	7	2570
1418	घटनामा	2570	13	2557
1419	सेनाले	2568	43	2525
1424	कामको	2560	29	2531
1426	विदेशमा	2558	29	2529
1429	भएमा	2551	91	2460
1431	चेतावनी	2547	2	2545
1433	विगतमा	2533	9	2524
1443	विज्ञप्तिमा	2517	0	2517
1444	छलफलमा	2516	8	2508
1455	ल्याइएको	2494	21	2473
1460	आयोजनामा	2483	3	2480
1464	वर्षअघि	2476	33	2443
1466	मन्त्रालयमा	2475	9	2466
1469	बदली	2472	3	2469
1474	उसको	2469	143	2326
1475	रोकिएको	2465	4	2461
1481	वर्षाको	2459	6	2453
1487	गोली	2450	18	2432
1489	नेपालीमा	2449	81	2368
1491	कार्यान्वयनमा	2447	0	2447
1494	सभाको	2443	9	2434
1504	याउने	2431	26	2405
1505	संघका	2430	0	2430
1506	ढंगले	2430	0	2430
1509	पदाधिकारी	2423	0	2423
1515	नेपाललाइभमा	2412	0	2412
1516	बैंकका	2409	1	2408
1517	महानगरपालिकाले	2409	0	2409
1529	बाढी	2390	0	2390
1532	पक्षले	2382	19	2363
1551	कार्यालयको	2349	22	2327
1559	पार्टीमा	2338	27	2311
1565	गरिसकेका	2329	22	2307
1567	कानून	2329	7	2322
1572	यसपटक	2317	3	2314
1586	प्रतिपक्षको	2296	0	2296
1589	भइरहेका	2294	6	2288
1590	संस्थाको	2292	46	2246
1595	मनसुनी	2287	4	2283
1599	गौतमले	2284	2	2282
1604	स्थानीयले	2277	0	2277
1610	जनशक्ति	2274	4	2270
1611	भएकोले	2271	74	2197
1618	तयारीमा	2262	11	2251
1622	परिवारका	2260	12	2248
1623	संस्थागत	2257	26	2231
1626	भएसँगै	2250	5	2245
1630	लकडाउन	2245	0	2245
1631	सरकारसँग	2243	5	2238
1636	पानीपोखरी	2234	0	2234
1653	जसरी	2193	31	2162
1655	कोरोनाको	2190	0	2190
1665	प्राथमिकतामा	2172	0	2172
1668	दिनसम्म	2167	53	2114
1682	सकेका	2157	20	2137
1686	चितवनको	2155	7	2148
1687	बेन्चमा	2154	0	2154
1692	सघाएको	2149	0	2149
1693	प्रकरणका	2148	0	2148
1696	रुपन्देहीमा	2142	0	2142
1700	गठबन्धनको	2139	2	2137
1701	ढकालले	2139	3	2136
1703	भारतबाट	2138	16	2122
1705	घटनाको	2135	13	2122
1712	खाली	2119	53	2066
1717	जसपा	2111	0	2111
1722	जलवायु	2096	19	2077
1724	तोकेको	2095	2	2093
1727	बस्ती	2091	50	2041
1729	कर्मचारीको	2089	4	2085
1730	प्रहरीका	2089	0	2089
1731	महिलालाई	2088	15	2073
1746	कोइरालाले	2073	7	2066
1750	बजेदेखि	2068	8	2060
1756	पठाइएको	2062	6	2056
1757	लामिछानेसँग	2062	0	2062
1764	लेखेका	2052	52	2000
1765	तस्करलाई	2052	0	2052
1767	की	2050	2	2048
1770	रनमा	2048	10	2038
1772	नियुक्ति	2047	22	2025
1781	पोखरामा	2039	9	2030
1782	खड्कामाथि	2038	0	2038
1783	किसानले	2037	0	2037
1784	बजेटमा	2034	6	2028
1797	उखानै	2021	0	2021
1799	घिसिङबीच	2019	0	2019
1809	नियन्त्रणका	2004	1	2003
1810	मधेश	2002	6	1996
1812	प्रकरणमा	1999	5	1994
1818	परिवारलाई	1991	16	1975
1820	प्रविधिमन्त्री	1990	0	1990
1823	प्रक्रियामा	1983	18	1965
1825	मूल्यमा	1981	2	1979
1829	संघले	1976	0	1976
1831	उत्पादनमा	1974	13	1961
1834	समूहमा	1968	43	1925
1837	जोखिममा	1965	4	1961
1850	राज्यले	1950	36	1914
1852	तथ्यांक	1947	0	1947
1856	सदस्यमा	1942	0	1942
1857	पुनले	1941	1	1940
1861	निकालेको	1935	5	1930
1866	संख्यामा	1929	0	1929
1870	शाहीले	1924	2	1922
1871	मिनेट	1923	35	1888
1875	संकेत	1923	18	1905
1876	स्रोतले	1923	0	1923
1881	बस्नेतले	1917	4	1913
1882	विधि	1914	63	1851
1883	खनालले	1914	18	1896
1889	कर्मचारीलाई	1910	1	1909
1890	स्वीकृति	1909	13	1896
1897	विद्यार्थीलाई	1903	0	1903
1898	अध्यक्षमा	1902	8	1894
1899	रुपैयाँमा	1902	0	1902
1901	अर्थात	1899	15	1884
1902	घिमिरेले	1899	6	1893
1905	गएपछि	1897	22	1875
1907	एमसीसी	1897	0	1897
1908	बराबरी	1895	6	1889
1911	साहले	1891	0	1891
1915	बाध्यता	1888	8	1880
1917	अति	1887	124	1763
1923	टुंगो	1883	0	1883
1928	सञ्जालमा	1878	4	1874
1930	सरकारबाट	1874	16	1858
1932	क्रमशः	1870	11	1859
1933	महाशाखाले	1870	0	1870
1934	सदस्यको	1870	0	1870
1935	विपक्षी	1869	13	1856
1937	प्रतिपक्षी	1868	2	1866
1949	यात्रु	1852	2	1850
1950	रही	1850	13	1837
1952	विकासमन्त्री	1848	0	1848
1954	नेताहरु	1847	0	1847
1957	हुनेमा	1842	4	1838
1961	गठबन्धनका	1832	4	1828
1965	हातमा	1825	69	1756
1970	महिलाले	1824	29	1795
1980	अभियानमा	1816	34	1782
1983	समुद्रपारि	1813	0	1813
1987	निर्वाचनका	1809	3	1806
1990	लामिछानेले	1808	0	1808
1994	फाइनलमा	1802	2	1800
1997	समुदायको	1800	23	1777
2001	अलि	1799	34	1765
2003	प्रतिवेदनमा	1798	4	1794
2004	व्यवसायीले	1798	0	1798
2005	लिगको	1797	5	1792
2008	पार्टीलाई	1794	3	1791
2014	चोरी	1790	13	1777
2017	तरिकाले	1783	46	1737
2019	देशलाई	1782	9	1773
2020	हकमा	1780	18	1762
2022	याउन	1779	45	1734
2028	गर्छु	1769	34	1735
2036	विभागको	1763	11	1752
2042	कार्यकालको	1756	10	1746
2043	दरले	1754	18	1736
2048	ओलीलाई	1751	2	1749
2049	दावी	1751	7	1744
2051	विज्ञप्ति	1750	3	1747
2053	मन्दिरमा	1746	101	1645
2055	प्रभावका	1744	8	1736
2061	क्षमताको	1735	16	1719
2064	कार्यक्रमलाई	1732	2	1730
2068	बचत	1726	1	1725
2072	श्रेष्ठको	1724	11	1713
2074	पार्टीभित्रको	1723	0	1723
2076	जीवनमा	1721	81	1640
2079	प्रहरीलाई	1719	1	1718
2082	किसानलाई	1718	1	1717
2085	महत्व	1712	7	1705
2089	केहि	1705	5	1700
2090	हुनेको	1704	5	1699
2093	आफैं	1702	2	1700
2096	अध्यक्षतामा	1700	7	1693
2098	आगलागी	1699	1	1698
2103	बताउनु	1694	1	1693
2108	यसबारे	1688	7	1681
2111	फर्किएका	1686	3	1683
2117	संस्थाका	1678	10	1668
2121	उपचारको	1674	5	1669
2122	कर्मचारीले	1673	3	1670
2123	चालू	1673	1	1672
2124	बरु	1672	25	1647
2126	अधिकतम	1669	28	1641
2135	माओवादीले	1660	22	1638
2138	शरीरमा	1657	90	1567
2139	हामीसँग	1657	4	1653
2143	कसैको	1652	35	1617
2152	यसैबीच	1644	1	1643
2153	रुपैयाँको	1644	0	1644
2154	मुलुकका	1643	1	1642
2159	विद्यालयको	1639	17	1622
2169	नेताहरुले	1629	0	1629
2176	लिइएको	1626	23	1603
2179	समस्यामा	1625	2	1623
2180	सी	1622	30	1592
2185	बालबालिकालाई	1616	12	1604
2186	प्रतिनिधिसभाको	1616	0	1616
2188	प्रवद्र्धन	1613	0	1613
2189	कार्यविधि	1612	0	1612
2190	गराइएको	1610	22	1588
2191	एजेन्सी	1610	11	1599
2194	बर्ष	1609	0	1609
2201	संचालन	1597	0	1597
2203	सुरू	1594	88	1506
2205	दिनुभएको	1593	13	1580
2210	उत्कर्षमा	1591	0	1591
2220	कारवाही	1582	11	1571
2223	खसेको	1581	2	1579
2225	दोषी	1578	23	1555
2229	टोलीमा	1575	4	1571
2234	समयसम्म	1571	64	1507
2236	प्रष्ट	1570	24	1546
2237	व्यवस्थापनमा	1570	3	1567
2242	अबको	1565	2	1563
2243	रोपनी	1565	0	1565
2244	न्यूज	1565	0	1565
2249	खटिएको	1561	0	1561
2251	घरमै	1560	7	1553
2253	अभिव्यक्ति	1559	19	1540
2256	नेताहरू	1557	22	1535
2259	मन्त्रिपरिषद्को	1553	0	1553
2260	सापकोटाले	1553	0	1553
2261	संसदको	1552	5	1547
2265	फिल्मको	1548	34	1514
2267	रणनीति	1545	5	1540
2269	संविधानले	1544	13	1531
2271	आमाको	1543	64	1479
2274	जितेका	1541	21	1520
2275	नागरिकले	1541	2	1539
2282	योजनामा	1539	2	1537
2288	राष्ट्रपतिको	1536	9	1527
2291	सचिवालयले	1535	0	1535
2293	गइरहेको	1532	9	1523
2296	गरेकाले	1529	19	1510
2301	बाढीले	1523	0	1523
2302	नियमावली	1522	10	1512
2303	प्रणालीमा	1522	15	1507
2305	विरोधमा	1519	7	1512
2316	समस्याको	1512	26	1486
2317	संक्रमणको	1512	0	1512
2319	बोर्डले	1511	0	1511
2321	खुशी	1509	8	1501
2324	मनमा	1508	43	1465
2329	सदस्यले	1505	0	1505
2331	निकायले	1503	13	1490
2334	चौका	1500	4	1496
2335	प्रवृत्ति	1500	26	1474
2336	बैठकको	1500	0	1500
2337	याएको	1497	11	1486
2338	बजेटको	1497	0	1497
2339	समृद्धि	1496	5	1491
2341	कुरालाई	1493	49	1444
2343	नेपालीलाई	1492	6	1486
2344	खेलाडीले	1492	35	1457
2367	दिइने	1471	27	1444
2372	अन्तरिम	1466	40	1426
2373	नेकपाका	1466	0	1466
2374	दिइन्	1465	20	1445
2378	टोलीको	1462	2	1460
2380	विद्यालयका	1460	2	1458
2383	भित्री	1456	48	1408
2384	बालुवाटारमा	1456	0	1456
2386	पशुपति	1455	13	1442
2389	गरेमा	1452	78	1374
2392	पत्रमा	1450	8	1442
2398	स्वास्थ्यमा	1446	11	1435
2401	सचेतक	1446	3	1443
2406	अर्यालले	1440	0	1440
2407	उत्तिकै	1439	41	1398
2409	समारोहमा	1439	17	1422
2410	समाधानका	1439	0	1439
2413	राखी	1436	66	1370
2415	हाफमा	1435	0	1435
2416	पारेका	1433	11	1422
2417	संसद्मा	1431	0	1431
2418	फोरममा	1429	0	1429
2421	उपलब्धि	1427	10	1417
2430	भन्नेमा	1418	5	1413
2431	दिनअघि	1417	8	1409
2433	स्थिरताका	1417	0	1417
2434	आयोगमा	1416	0	1416
2441	विद्यादेवी	1413	0	1413
2442	पीसीआर	1413	0	1413
2443	बुझाएको	1412	4	1408
2446	निगमले	1409	2	1407
2461	गल्ती	1398	56	1342
2463	संयोजकत्वमा	1398	0	1398
2465	पाएपछि	1397	14	1383
2466	भेटि	1397	0	1397
2469	कसले	1396	18	1378
2471	ओलीलाइ	1395	0	1395
2473	सत्तरोहणसँगै	1393	0	1393
2477	पूरै	1392	15	1377
2480	पर्नेमा	1390	4	1386
2483	तीमध्ये	1389	9	1380
2487	देशले	1386	15	1371
2488	स्वदेशी	1386	16	1370
2490	अत्यावश्यक	1384	4	1380
2492	गुमाएका	1384	0	1384
2494	थपिएका	1382	8	1374
2495	जसका	1381	64	1317
2497	जसमध्ये	1380	30	1350
2499	देखिएपछि	1378	4	1374
2502	अल	1377	17	1360
2503	दिवसको	1377	15	1362
2504	नभएपछि	1376	5	1371
2507	त्यसरी	1372	34	1338
2508	महानगरले	1372	0	1372
2509	सांसदले	1371	0	1371
2512	उहाँका	1369	56	1313
2514	सुरक्षाको	1368	15	1353
2515	सहयोगी	1367	27	1340
2516	नेपालीले	1367	13	1354
2517	सवार	1366	5	1361
2518	शक्तिशाली	1365	44	1321
2519	नभएसम्म	1365	4	1361
2522	महासंघका	1364	0	1364
2528	परिस्थिति	1360	5	1355
2530	पुँजी	1360	7	1353
2533	कामलाई	1357	17	1340
2537	खतिवडाले	1355	0	1355
2538	दिल्ली	1352	122	1230
2541	महतले	1351	4	1347
2543	भेटमा	1349	0	1349
2545	पुगेपछि	1348	17	1331
2547	जोशीले	1345	7	1338
2552	चाहेको	1343	25	1318
2558	निवासी	1341	29	1312
2559	गतिमा	1340	19	1321
2563	नभएकाले	1340	6	1334
