text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
Hello	Hello	h e . l o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=h e . l o
a	a	e		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e
aaj	aaj	aa dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa jh
aaja	aaja	aa . dz ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . jh ax
aalen	aalen	aa . l e n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . l e n
aama	aama	aa . m aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . m aa
aamir	aamir	aa . m i r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . m i r
aankhama	aankhama	aan . kh aa . m aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aan . kh aa . m aa
aao	aao	aa . o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . o
aap	aap	aa p		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa p
aashish	aashish	aa . s i s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . s i s
aatma	aatma	aa t . m aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa t . m aa
aaye	aaye	aa . e		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . e
aayush	aayush	aa . y u s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=aa . y u s
abbott	abbott	e . b o tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e . b o tt
aberration	aberration	e . b ax . r e . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e . b ax . r e . s ax n
abhidharma	abhidharma	ax . bh i . dh ax r . m ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . bh i . dh ax r . m ax
abhijeet	abhijeet	ax . bh i . dz i t		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . bh i . jh i t
abhinay	abhinay	ax . bh i . n ax . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . bh i . n ax . y ax
abiogenesis	abiogenesis	ax . b aa . y o . g e . n e . s i s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . b aa . y o . g e . n e . s i s
abnormal	abnormal	e b . n ax r . m ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e b . n ax r . m ax l
absolute	absolute	e b . s o . l u tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e b . s o . l u tt
absorber	absorber	e b . dz ax r . b ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e b . jh ax r . b ax r
absorption	absorption	e b . dz ax r p . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e b . jh ax r p . s ax n
abstract	abstract	e b s . tx r y aa k tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e b s . tt r y aa k tt
absurdism	absurdism	e b . s ax r . d i dz m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e b . s ax r . d i jh m
abundant	abundant	e . b ax n . dx e n tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e . b ax n . dd e n tt
abuse	abuse	e . b y u dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e . b y u jh
academia	academia	ax . k aa . dx e . m i . y aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . k aa . dd e . m i . y aa
academic	academic	e . k e . dx e . m i k		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e . k e . dd e . m i k
accelerometer	accelerometer	e k . s e . l e . r o . m i . tx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e k . s e . l e . r o . m i . tt ax r
access	access	e k . s e s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e k . s e s
account	account	ax . k aaw n tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . k aaw n tt
accountant	accountant	ax . k aaw n . tx e n tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . k aaw n . tt e n tt
accounting	accounting	ax . k aaw n . tx i ng		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . k aaw n . tt i ng
ace	ace	e s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e s
acer	acer	e . s ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=e . s ax r
